Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Lost Property,5815 S. Maryland ,12/2/11,12/2/11 8:00 AM to 7:00 PM,Patient's wallet missing from room / Possibly taken with dirty bed linen,Closed,A00890,-87.6041439,41.78917240000001
Theft from Motor Vehicle,59th between Greenwood & University,12/2/11,12/2/11 7:45 PM to 9:00 PM,Unknown person took two laptop computers from rear seat of vehicle parked on the street / No sign of forced entry,Open,A00891,-87.6138952844712,41.83294139521297
Theft,59th between Woodlawn & Kimbark,12/3/11,12/1/11 2:45 PM,Unattended lap top computer and case taken from sidewalk while complainant was distracted,Open,A00892,-87.59556700008197,41.78779950283358
Non-Criminal,University between 56th & 57th,12/3/11,12/3/11 3:54 PM,Couch was on fire in alley / Unknown person(s) extinguished fire,Closed,A00893,-87.59810194959996,41.792317600003436
Robbery,57th  between Woodlawn & Kimbark,12/3/11,12/3/11 5:25 PM,Unknown male struck man standing on the sidewalk and ran off with his iPhone,Open,A00894,-87.59564755008897,41.79143060279693
Theft,5735 S. University ,12/4/11,12/4/11 9:00 PM to 9:50 PM,Unattended book bag containing computer and other items taken while owner was in another room,Open,A00895,-87.5976532,41.7903405
Theft,5836 S. Greenwood ,12/5/11,12/5/11 8:15 AM to 8:20 AM,Unknown person took purse from cabinet in unsecured office,Open,A00896,-87.5997452,41.7939867
Criminal Trespass to Property,54th Pl. between Drexel & Ingleside,12/5/11,12/5/11 12:45 PM,Residents heard people walking around their apartment / Suspects fled before arrival of police,Open,A00898,-87.60330769842098,41.796636501327455
Traffic Violation,Midway Pl. & Cottage Grove,12/6/11,12/6/11 7:59 AM,UCPD officer arrested a motorist for driving with a suspended license and no proof of insurance,Arrest,A00000,-87.6060383,41.7864102
Traffic Violation,55th & Dorchester,12/6/11,12/6/11 2:58 PM,UCPD officer arrested a motorist for driving without a driver's license,Arrest,A00000,-87.59168079999999,41.79550649999999
Theft,5530 S. Ellis ,12/7/11,12/7/11 8:00 AM to 10:00 AM,Credit card taken from wallet left in unsecured locker / Unauthorized use of credit card subsequently reported,Open,A00899,-87.6016284,41.794474
Traffic Crash,Cornell between 54th & 55th,12/10/11,12/9/11 to 12/10/11 10:00 PM to 9:45 AM,Traffic crash report,Closed,A00901,-87.58545174920192,41.79664175000536
Lost Property,Hyde Park & Cornell,12/10/11,12/9/11 12:20 PM to 12:55 PM,Complainant left bag containing a lap top computer at a bus stop,Closed,A00902,-87.5866356,41.8024752
Armed Robbery,53rd between Kimbark & Kenwood ,12/10/11,12/10/11 6:10 PM,"Two unknown males, one armed with a handgun, took property from a man walking through the park",Open,A00903,-87.59378395023691,41.79947170660661
Lost Property,6031 S. Ellis ,12/11/11,12/9/11 to 12/10/11 5:00 PM to 11:00 AM,Complainant missing clothing that was left in dryer in laundry room,Closed,A00904,-87.6003487,41.78502539999999
Theft,5530 S. Ellis ,12/11/11,12/11/11 10:25 AM to 11:10 AM,Unknown person took cell phone from unattended bag left in public area,Open,A00905,-87.6016284,41.794474
Damage to Property,5815 S. Maryland ,12/11/11,12/11/11 12:25 PM,Distressed patient broke window in hospital room,Closed,A00907,-87.6041439,41.78917240000001
Theft,6054 S. Drexel ,12/11/11,12/10/11 to 12/11/11 10:45 PM to 2:05 PM,Gasoline credit card taken from vehicle parked in parking structure,Open,A00906,-87.604867,41.78464
Unlawful Use of Weapon,60th & Dorchester,12/11/11,12/11/11 2:30 PM,UCPD officers arrested a man carrying a concealed replica handgun,Arrest,A00908,-87.5914801,41.7860778
Theft,1100 E. 57th St. ,12/12/11,12/7/11 to 12/12/11 10:30 AM 8:30 AM,Items  taken from two desks in work cubicle area,Open,A00909,-87.6001136,41.7922076
Theft,5835 S. Kimbark ,12/13/11,12/2/11 to 12/5/11 5:20 PM to 12:00 PM,Camera taken from secured cabinet in 2nd floor room,Open,A00911,-87.5939568,41.7885389
Theft,1155 E. 58th St. ,12/13/11,11/1/11 to 12/12/11 5:00 PM to 1:30 AM,UCPD officers arrested a staff member after investigation revealed theft of cash from donation box,Arrest,A00913,-87.5974912,41.7892027
Theft from Motor Vehicle,Dorchester & 63rd ,12/13/11,12/13/11 10:30 AM to 3:00 PM,Unknown person(s) smashed passenger's side rear window of car in parking lot / Took car battery and GPS charger,Open,A00914,-87.5915096,41.7805546
Theft from Person,54th between Woodlawn & Kimbark,12/13/11,12/13/11 10:25 PM,Three males took property from a man walking on the sidewalk,Open,A00915,-87.59578085897954,41.79725595267234
Armed Robbery,Ellis & 53rd,12/14/11,12/14/11 3:00 AM,"Two males, one armed with a handgun, took property from a man and woman walking on the sidewalk",Open,A00916,-87.6013134,41.7993895
Injured Person,950 E. 59th St. ,12/14/11,12/14/11 8:45 AM,Woman spilled hot coffee on her arm while in cafeteria / Treated at ER,Closed,A00917,-87.6027919,41.7878573
Theft,University & 61st,12/14/11,12/13/11 6:40 PM to 6:50 PM,Unknown person opened parcel left in residential vestibule / Took health supplements,Open,A00918,-87.5979069,41.78411819999999
Theft,5815 S. Maryland ,12/14/11,12/14/11 8:00 AM to 3:30 PM,Unknown person took cash from purse left in desk drawer in unsecured office,Open,A00919,-87.6041439,41.78917240000001
Possession of Cannabis,Cottage Grove & 52nd,12/14/11,12/14/11 8:28 PM,"Subsequent to a traffic violation, UCPD officers arrested a motorist for possession of bags of suspect marijuana",Arrest,A00920,-87.60635669999999,41.8004189
Theft,5841 S. Maryland ,12/14/11,12/14/11 10:30 PM to 11:00 PM,Wallet taken from unattended coat left under desk in lobby area,Open,A00921,-87.6045656,41.7883128
Theft,5823 S. Kenwood ,12/16/11,12/12/11 3:35 PM to 4:45 PM,Unattended cell phone left on floor of gym taken by an unknown person,Open,A00922,-87.5931488,41.7894307
Harassment by Electronic Means,5835 S. Maryland ,12/16/11,12/16/11 10:30 AM,Staff member received harassing e-mail,Open,A00923,-87.6049261,41.78881639999999
Theft,5530 S. Ellis ,12/16/11,12/15/11 1:00 PM to 1:30 PM,Cash taken from wallet left in unattended bag beside swimming pool,Open,A00924,-87.6016284,41.794474
Criminal Sexual Abuse,Everett between 54th & 55th,12/18/11,12/17/11 to 12/18/11 3:00 AM to 12:00 AM,Woman reports she was sexually abused while in apartment of male acquaintance,Open,A00925,-87.6061502960001,41.83667132207274
Theft,5758 S. Maryland ,12/18/11,12/13/11 to 12/18/11 6:00 PM to 3:50 AM,Patient reports cash was taken from his wallet,Open,A00926,-87.60554789999999,41.7901233
Aggravated Robbery,Ellis between 54th & 55th,12/18/11,12/18/11 8:30 PM,"Unknown male, who implied he had a weapon, took property from a man walking on the sidewalk",Open,A00927,-87.60130105065737,41.79646450000363
Theft,5758 S. Maryland ,12/19/11,11/30/11 to 12/6/11  5:00 PM to 12:00 PM,Unknown person took ring from unlocked cabinet in unsecured room,Open,A00928,-87.60554789999999,41.7901233
Warrant Arrest,59th & Cottage Grove,12/19/11,12/19/11 5:51 PM,UCPD officers arrested a man wanted on a warrant,Arrest,A00929,-87.60606159999999,41.7876879
Robbery,Woodlawn between 54th & 55th,12/20/11,12/20/11 2:20 PM,Unknown male took property from a woman walking on the sidewalk,Open,A00930,-87.59656144994922,41.79579150000009
Criminal Damage to Property,Cornell between 53rd & 54th,12/20/11,12/20/11 7:00 PM,Unknown person threw rock breaking window in apartment,Open,A00931,-87.58549879986269,41.79883630000061
Theft,1212 E. 59th St. ,12/22/11,12/21/11 to 12/22/11 2:30 PM to 7:30 AM,Contractor reported cast iron roof drains taken from unsecured work area.,Open,A00932,-87.5955798,41.7882112
Suspicious Package,1130 E. 59th St. ,12/22/11,12/22/11 9:40 AM,Staff member discovered suspicious white powder in envelope delivered via U.S. mail / Tested by CFD and turned over to CPD,Closed,A00934,-87.5984235,41.7879643
Theft,900 E. 57th St. ,12/22/11,10/21/11 12:00 PM to 1:30 PM,Delayed report of theft of wallet from unsecured desk drawer in work cubicle / Subsequent unauthorized use of credit cards reported,Open,A00933,-87.6034081,41.7916469
Damage to Property,Blackstone between 58th & 59th,12/22/11,12/21/11 to 12/22/11 9:00 PM to 12:00 PM,Private residence basement door frame damaged,Closed,A00935,-87.59018884979204,41.78874435000097
Damage to Property,59th between Kenwood & Dorchester,12/22/11,12/22/11 3:30 PM to 6:50 PM,Passenger's side window shattered in car parked on the street,Closed,A00936,-87.5923874016477,41.798659503349114
Theft,1100 E. 57th St. ,12/23/11,12/22/11 to 12/23/11 6:30 PM to 10:30 AM,Envelope containing cash taken from desktop in cubicle in unsecured office,Open,A00937,-87.6001136,41.7922076
Traffic Violation,Midway Pl. & Woodlawn,12/24/11,12/24/11 3:13 AM,UCPD officer arrested a motorist for DWI and driving with a suspended driver's license,Arrest,A00000,-87.5963558,41.78650409999999
Theft,5815 S. Maryland ,12/24/11,12/9/11 to 12/22/11 4:30 PM to 6:00 PM,Patient reports two purses were taken during her stay in hospital,Open,A00938,-87.6041439,41.78917240000001
Alarm,University & 59th,12/26/11,12/26/11 7:40 AM,Residence alarm triggered / All secure,Closed,A00939,-87.5980148,41.787767
Other - Non-Criminal,5601 S. Drexel,12/26/11,12/26/11 9:25 AM,A piece of masonry fell from a vacant building / Area secured,Closed,A00941,-87.603312,41.793085
Criminal Trespass to Property,5815 S. Maryland ,12/26/11,12/26/11 10:40 AM,Woman ignored previous repeated warnings and was arrested by UCPD for trespass,Arrest,A00942,-87.6041439,41.78917240000001
Theft,5601 S. Drexel ,12/28/11,12/27/11 2:00 PM,Copper pipes and plumbing fixtures removed from vacated building,Open,A00943,-87.603312,41.793085
Burglary,University between 56th & 57th,12/28/11,12/23/11 to 12/28/11 12:00 PM to 9:40 PM,"Unknown person(s) forced entry to shared residence by forcing doors / Took jewelry,  TVs and other property",Open,A00944,-87.59810194959996,41.792317600003436
Criminal Damage to Property,800 E. 55th St. ,12/29/11,12/29/11 8:00 AM to 12:30 PM,Unknown person scrawled graffiti on Friend Center sign,Open,A00945,-87.60537289999999,41.7956635
Theft,5730 S. Ellis ,12/29/11,12/29/11 1:30 PM to 2:00 PM,Unattended wallet taken from desk in library / Wallet later found minus cash,Open,A00946,-87.60255599999999,41.790225
Criminal Damage to Property,800 E. 55th St. ,12/30/11,12/29/11 to 12/30/11 4:00 PM to 7:15 AM,Unknown person scrawled graffiti on sign in parking lot of Friend Center,Open,A00947,-87.60537289999999,41.7956635
Aggravated Battery,Park Pl. & Harper,12/30/11,12/30/11 9:45 PM,"Woman, walking on the sidewalk, was struck with a blunt object by two unknown women who then fled in a vehicle parked nearby",Open,A00948,-87.58840839999999,41.7942434
Lost Property,5815 S. Maryland ,12/31/11,12/30/11 6:00 PM to 7:00 PM,Woman reports necklace was lost while she was a patient in the ER,Open,A00949,-87.6041439,41.78917240000001
Damage to Property,951 E. 58th St. ,1/1/12,1/1/12 7:26 AM,Motorist crashed into a concrete wall and damaged gas lines after striking another vehicle / Traffic crash investigation conducted by CPD,Arrest,B00001,-87.602471,41.7894277
Theft,Hyde Park between 54th & 55th,1/2/12,12/31/11 to 1/1/12 2:00 PM to 2:00 PM,Victim's laptop computer taken from suitcase left in the apartment of an acquaintance,Open,B00003,-87.58397724911131,41.796662900006645
Damage to Property,5505 S. Ellis ,1/3/12,12/30/11 to 1/3/12 6:30 PM to 11:30 AM,Damage discovered to University owned vehicle,Closed,B00004,-87.601637,41.79457499999999
Other Violation,Harper between 53rd & 54th,1/3/12,1/3/12 3:48 PM,UCPD officers arrested a man wanted on a warrant,Arrest,B00005,-87.58907819980783,41.79879025000123
Criminal Trespass to Vehicle,Cottage Grove & 61st,1/3/12,1/3/12 4:05 PM,UCPD officers arrested two males in possession of a stolen motor vehicle,Arrest,B00006,-87.60600389999999,41.7840411
Harassing Telephone Calls,55th & Dorchester,1/4/12,12/31/11 to 1/4/12 9:30 PM to 2:00 AM,Report of harassing phone calls from an acquaintance,Open,B00007,-87.59168079999999,41.79550649999999
Trespass to Property,1212 E. 59th St. ,1/4/12,1/3/12 to 1/4/12 4:30 PM to 6:30 AM,Footprints (from fresh tar) on floor indicate a person entered via an open window on 3rd floor and walked through hallway,Open,B00008,-87.5955798,41.7882112
Theft,900 E. 57th St. ,1/4/12,1/3/12 12:00 PM to 5:30 PM,Wallet taken from unattended book bag left in work cubicle,Open,B00009,-87.6034081,41.7916469
Traffic Violation,55th & Lake Park,1/4/12,1/4/12 8:18 PM,UCPD officer arrested a motorist for driving without a driver's license,Arrest,B00000,-87.58758429999999,41.7952315
Armed Robbery,52nd between Drexel & Ingleside,1/4/12,1/4/12 9:15 PM,"Three males, one armed with a handgun, took property from a female walking on the sidewalk",Open,B00010,-87.60340490157515,41.80064615126536
Armed Robbery,57th & Ellis,1/5/12,1/5/12 4:35 AM,"Two men, one armed with a handgun, took property from two men walking on the sidewalk",Open,B00012,-87.60130180000002,41.7913737
Lost Property,5758 S. Maryland ,1/5/12,1/4/12 2:00 PM to 2:45 PM,Woman arrived at home and realized she lost a gold chain after appointment at UCMC,Closed,B00014,-87.60554789999999,41.7901233
Injured Person,935 E. 56th St. ,1/5/12,1/5/12 8:20 AM,"Woman tripped on an object in the parkway, falling and injuring her left wrist and cheek bone / Treated at ER",Closed,B00013,-87.6022332,41.7931688
Theft,5640 S. University ,1/5/12,1/5/12 1:30 AM to 2:00 AM,"Two bicycles, secured to bike rack with U locks, taken by unknown person(s)",Open,B00016,-87.59822439999999,41.7925325
Theft,47th & Woodlawn,1/5/12,12/29/11 2:00 PM to 4:00 PM,Unknown person took wallet from purse draped over a chair in café / Subsequent unauthorized use of credit card reported,Open,B00015,-87.5968462,41.8096279
Damage to Property,5840 S. Maryland ,1/5/12,1/5/12 2:40 PM to 11:30 PM,Bumper and tail light of parked vehicle damaged,Closed,B00017,-87.6049986,41.7888793
Battery,5815 S. Maryland ,1/6/12,1/6/12 6:55 AM,Patient battered during a domestic argument / Offender fled before police arrived,Open,B00018,-87.6041439,41.78917240000001
Theft,950 E. 58th St. ,1/6/12,1/5/12 12:30 PM to 5:30 PM,Purse placed in unsecured desk drawer taken by unknown person,Open,B00019,-87.6021833,41.7895543
Theft,929 E. 57th St. ,1/6/12,1/5/12 4:00 PM to 5:00 PM,Unattended wallet taken from desktop / Subsequent unauthorized use of credit card reported,Open,B00020,-87.60270899999999,41.7908878
Theft,5758 S. Maryland ,1/6/12,1/6/12 1:00 PM to 2:30 PM,Wallet taken from briefcase while victim dined in the food court / Subsequent unauthorized use of credit card reported,Open,B00021,-87.60554789999999,41.7901233
Theft,5530 S. Ellis ,1/7/12,1/6/12 4:45 PM to 6:00 PM,Jacket and wallet taken from unsecured locker,Open,B00023,-87.6016284,41.794474
Theft from Motor Vehicle,56th & Cornell,1/8/12,1/6/12 to 1/8/12 5:30 PM to 7:35 PM,Unknown person smashed passenger's side front window and took radio from dashboard of car parked on the street,Open,B00024,-87.5853698,41.7933894
Theft,Kimbark between 53rd & 54th,1/10/12,12/21/11 to 1/9/12 9:00 AM to 8:30 PM,Unknown person took bicycle from laundry room of apartment building,Open,B00025,-87.59500704987093,41.79872420000055
Theft,5811 S. Ellis ,1/11/12,12/07/11 to 01/06/12  4:00PM to 1:00PM,Unknown person(s) took laptop computer from front reception desk,Open,B00026,-87.600948,41.7889636
Theft,1212 E. 59th St. ,1/11/12,1/11/12  1:55PM to 2:00PM,Male offender took portable generator from construction area/property was recovered as offender fled,Open,B00027,-87.5955798,41.7882112
Theft,900 E. 57th St. ,1/12/12,1/11/12 to 1/12/12/  6:00PM to 11:15AM,Unknown person(s) took earphones from an unsecured desk.,Open,B00028,-87.6034081,41.7916469
Criminal Damage to Vehicle,E. 54th St. & S. Shore Dr.,1/12/12,1/10/12 to 1/12/12  8:30PM to 2:30PM,Unknown person(s) smashed passenger's side windown to gain access to the vehicle glove box/no property appeared to be missing.,Open,B00029,-87.5822932,41.7981579
Theft,6031 S. Ellis Ave. ,1/12/12,1/12/12  3:30PM to 4:15PM,Unknown person(s) took several pieces of copper piping from a basement corridor.,Open,B00030,-87.6003487,41.78502539999999
Theft,5850 S. Woodlawn Ave. ,1/12/12,1/12/12  2:30PM to 3:15PM,Unknown person(s) took a cellphone that was left unattended.,Open,B00031,-87.5968266,41.788241
Theft,5815 S. Maryland Ave. ,1/13/12,1/12/12 to 1/12/12/  7:30PM to 11:00PM,Unknown person(s) took cellphone from the emergency room.,Open,B00032,-87.6041439,41.78917240000001
Theft,E. 55th St. & S. Shore Dr.,1/13/12,1/12/12 to 1/13/12  4:30PM to 8:00AM,Unknown person(s) smashed passenger's side window and took a GPS device from the glove box.,Open,B00033,-87.5808381,41.7952373
Criminal Damage to Property,E. 60th St. & S. Ingleside Ave.,1/13/12,11/13/11 to 1/13/12  12:00AM to 9:30AM,Unknown person(s) damaged both the door and metal plate surrounding the lock of the rear door of a vacant apartment.,Open,B00034,-87.6028132,41.7858891
Theft,5706 S. University Ave. ,1/13/12,1/12/12 to 1/13/12 9:30PM to 10:10AM,Unknown person(s) took a laptop computer that was left unattended in an unsecured room.,Open,B00035,-87.5982633,41.7909142
Theft,5530 S. Ellis Ave. ,1/13/12,1/13/12 11:25AM to 11:55AM,Unknown person(s) took an electronic tablet and credit card from a bookbag left in an unsecured office/subsequent unauthorized use of the credit card was reported.,Open,B00036,-87.6016284,41.794474
Theft,5706 S. University Ave. ,1/14/12,1/13/12 to 1/13/12  8:00PM to 11:59PM,Unknown person(s) took bicycle and locking device that was secured to a bike rack.,Open,B00037,-87.5982633,41.7909142
Theft,5730 S. Ellis Ave. ,1/14/12,1/03/12 to 1/03/12  1:00PM to 2:30PM,Unknown person(s) took a textbook and wallet from an unsecured room.,Open,B00038,-87.60255599999999,41.790225
Criminal Damage to Property,E. 52nd Place & S. Harper Ave.,1/14/12,1/13/12 to 1/14/12  2:00PM to 3:00PM,Unknown person(s) damaged both the door and door frame of an apartment/no entry was made.,Open,B00039,-87.5890918,41.8000396
Lost Property,924 E. 57th St. ,1/14/12,1/14/12  4:55PM to 5:00PM,Complainant reported losing a wallet while walking.,Open,B00040,-87.6028077,41.79192099999999
Accidental Injury,E. Hyde Park Blvd & S. Kimbark Ave.,1/15/12,1/15/12 to 1/15/12  1:30AM to 1:32AM,Complainant related spraining an ankle after slipping on ice while walking down a set of stairs.,Open,B00041,-87.59508670000001,41.8023534
Burglary,E. 56th St. & S. Drexel Ave.,1/15/12,1/15/12  1:00AM to 6:00AM,Unknown person(s) smashed the window of an entry door and took US currency from a locker.,Open,B00042,-87.6037882,41.7931665
Theft,E. 55th Street & S. Hyde Park Blvd.,1/15/12,1/15/12   1:25PM to 1:30PM,Unknown person took cellphone from victim while the cellphone was being used.,Open,B00043,-87.5839381,41.7952081
Non-criminal Offense,1025 E. 58th St. ,1/17/12,1/13/12 to 1/16/12  7:00PM to 8:00PM,Unknown person(s) discharged a dry chemical fire extinguisher in the lobby area.,Open,B00044,-87.600152,41.789113
Motor Vehicle Theft/Recovery,5505 S. Ellis Ave. ,1/17/12,6/25/11 to 1/12/12  7:21PM to 2:17PM,UCPD officer recovered a reported stolen vehilce.,Open,B00045,-87.601637,41.79457499999999
Traffic Violation,E. 57th St. & S. Kimbark Ave.,1/17/12,1/17/12   3:27PM,UCPD officer arrested a motorist for driving without a driver's license and no proof of insurance/the driver was also suspected of DUI.,Open,B00000,-87.59484440000001,41.7914377
Robbery - Attempted Strong Arm,S. Drexel Ave. & E. 54th Street,1/17/12,1/17/12   5:45PM,Two unknown males attempted to take victim's shoulder bag before fleeing in an unknown direction/victim was not injured.,Open,B00046,-87.603861,41.7968194
Theft,S. Dorchester Ave. & E. 52nd St.,1/18/12,1/17/12 to 1/18/12  5:30PM to 8:25AM,Unknown person(s) smashed passenger's side window and took GPS device from vehicle.,Open,B00047,-87.59180219999999,41.8009657
Criminal Damage to Property,6016 S. Ingleside Ave. ,1/18/12,1/17/12 to 1/18/12  5:00PM to 9:30AM,Unknown person(s) damaged door lock to computer lab/no property was taken.,Open,B00048,-87.6029258,41.7857267
Criminal Trespass to Residence,E. 55th Pl. & S. Blackstone Ave.,1/18/12,1/18/12   1:01PM,UCPD officers arrested an offender for attempting to make entry into a residence/offender was in possession of several instruments used to make entry.,Closed/Arrest,B00049,-87.5903257,41.7947713
Theft,E.56th St. & S. University Ave,1/18/12,1/15/12 to 1/18/12   1:45AM to 2:15AM,Unknown person(s) took keys from jacket that was left unattended in a room.,Open,B00050,-87.59813009999999,41.7932285
Theft,5815 S. Maryland Ave. ,1/18/12,1/17/12  10:00AM to 4:00PM,Unknown persons(s) took an unattended messenger bag that was left on a table.,Open,B00051,-87.6041439,41.78917240000001
Harassing Phone Calls,E.56th St. & S. University Ave,1/18/12,1/18/12   11:30AM to 6:20PM,Known offender reported to have made several harassing phone calls.,Open,B00052,-87.59813009999999,41.7932285
Theft,E. 55th St. & S. Kenwood Ave.,1/18/12,1/18/12   8:38PM,Unknown person snatched victim's purse and fled eastbound in a dark colored SUV/Victim was not injured.,Open,B00053,-87.5933416,41.79513619999999
Accidental Injury,1155 E. 60th St. ,1/19/12,1/19/2012  9:15AM,UCPD officer responded to a complainant who slipped and fell on icy stairs/only minor injuries reported.,Closed/NC,B00054,-87.5971531,41.7855052
Theft,1100 E. 58th St. ,1/19/12,1/18/12  11:00AM to 4:30PM,Unknown person(s) took wallet from victim's bag/subsequent unauthorized use of credit card reported.,Open,B00055,-87.59917689999999,41.7901848
Theft,924 E. 57th St. ,1/19/12,1/17/12 to 1/18/12  2:30PM to 8:30AM,Unknown person(s) took electronic tablet from an unsecured office.,Open,B00056,-87.6028077,41.79192099999999
Found Suspect Narcotics,5815 S. Maryland Ave. ,1/20/12,1/20/2012  2:17PM,Hospital staff found a clear plastic bag containing suspect narcotics in the hospital lobby.,Open,B00057,-87.6041439,41.78917240000001
Theft,1111 E. 60th St. ,1/20/12,1/19/12 to 1/20/12 9:30PM to 5:30PM,Unknown person(s) took a laptop computer from a secured conference room.,Open,B00058,-87.598689,41.7853295
Lost Property,E. 60th St. & S. Ellis Ave.,1/20/12,1/20/12  6:30PM to 6:55PM,Complainant reported losing a wallet while in route to residence.,Closed/NC,B00059,-87.6011825,41.7859081
Traffc Violation,E. 56th St. & S. Stoney Island Ave.,1/21/12,1/21/12  11:24AM,UCPD officer arrested a motorist for an expired driver's license.,Closed/Arrest,B00000,-87.5866278,41.7933722
Lost Property,5714 S. Woodlawn Ave. ,1/21/12,1/19/12 to 1/20/12  11:45PM to 1:30AM,Complainant reported losing a cellular phone while at a party.,Closed/NC,B00060,-87.59681669999999,41.7908719
Theft,1116 E. 59th St. ,1/21/12,1/21/12 5:30PM to 5:45PM,Unknown person(s) took a laptop computer and wallet from an unsecured room/subsequent unauthorized use of credit card reported.,Open,B00061,-87.5995794,41.7879593
Robbery-Aggravated,E. 54th St. & S. Woodlawn Ave.,1/21/12,1/21/12  8:10PM to 8:28PM,Unknown male took victim's purse after the suspect sprayed the victim with a chemical agent/suspect fled in an unknown direction/victim was treated for minor injuries.,Open,B00062,-87.5966091,41.797963
Weapon Turn-In,5514 S. University Ave. ,1/22/12,1/21/12 to 1/22/12  11:00PM to 8:17AM,"UCPD took possession of an ""air soft"" pellet gun.",Closed/NC,B00063,-87.5983354,41.7946356
Burglary,E. Madison Park & S. Dorchester Ave.,1/22/12,1/20/12 to 1/21/12 11:00AM to 12:30AM,Unknown person(s) entered residence and took several pieces of jewelry.,Open,B00064,-87.5908348,41.7605383
Public Peace Violation,E. 53rd St. & S. Greenwood Ave.,1/22/12,1/22/12  6:17PM,UCPD officers arrested offender for outstanding warrants out of Williowbrook and Dupage County.,Closed/Arrest,B00065,-87.5997436,41.7994069
Theft,1116 E. 58th St. ,1/23/12,1/18/12  11:50AM to 12:20PM,Unknown person(s) took a cellular phone that was left unattended in an unsecured room.,Open,B00067,-87.6012587,41.7895481
Theft,E. 60th St. & S. Ingleside Ave.,1/23/12,1/17:12 1:00PM to 10:00PM,Unknown person(s) took a UPS package and the contents of two other packages from the building.,Open,B00068,-87.6028132,41.7858891
Theft,E. Hyde Park Blvd. & S. Dorchester Ave.,1/23/12,1/20/12 to 1/23/12  4:00PM to 5:00PM,Unknown person(s) took an unsecured bicycle from the basement storage room.,Open,B00069,-87.59183829999999,41.8024036
Theft,5836 S. Greenwood Ave. ,1/24/12,1/24/12  7:50AM to 8:50AM,Unknown person(s) took an electronic table from an unsecured office.,Open,B00070,-87.5997452,41.7939867
Theft,E. 61st St. & S. Dorchester Ave.,1/24/12,1/24/12 11:45AM to 4:40PM,Unknown person(s) smashed passenger's side window and took GPS device from vehicle glove box.,Open,B00071,-87.59142059999999,41.7841961
Other Crime Against Person,E. 47th St. & S. Woodlawn Ave.,1/24/12,1/24/12  7:34PM,UCPD officers arrested an individual who had an outstanding warrant for his arrest out of Will County.,Closed/Arrest,B00072,-87.5968462,41.8096279
Lost Property,1100 E. 57th St. ,1/25/12,1/24/12  2:00PM to 11:00PM,Complainant reported losing a set of keys while studying/UCPD officer recovered the set of keys for the complainant.,Closed/NC,B00073,-87.6001136,41.7922076
Accidental Injury,6054 S. Drexel Ave. ,1/25/12,1/25/12 10:15AM,Complainant reported slipping and falling on a sheet of ice/reported minor injuries and refused medical attention.,Closed/NC,B00074,-87.604836,41.784622
Accidental Injury,5801 S. Ellis Ave ,1/25/12,1/25/12  11:55AM to 12:00PM,Complainant reported tripping and falling on a curb/reported minor injuries and refused medical attention.,Closed/NC,B00075,-87.60091480000001,41.7895697
Deceptive Practice,E. 56th St. & S. University Ave.,1/25/12,1/18/12 to 1/24/12  12:02PM to 1:30PM,Victim reported receiving a fraudulent check for rent/deposit of an apartment.,Open,B00076,-87.59813009999999,41.7932285
Found Property,E. 60th St. & S. Kenwood Ave.,1/25/12,1/24/12 to 1/25/12  10:00PM to 4:00PM,Complainant turned over one found bullet/ammunition to UCPD officers.,Closed/NC,B00077,-87.5922073,41.7678113
Traffic Violation,E. 61st Pl. & Dorchester Ave.,1/26/12,1/26/12  9:48AM,UCPD officer arrested motorist for driving with an expired driver's license.,Closed/Arrest,B00000,-87.59140909999999,41.7832601
Traffic Violation,E. 54th St. & S. Ridgewood Ct.,1/26/12,1/26/12  8:31PM,UCPD officers arrested four offenders in possession of a reported stolen vehicle after the vehicle was stopped for a traffic violation.,Closed/Arrest,B00078,-87.5926051,41.7980215
Theft,5640 S. University Ave.,1/27/12,1/27/12  1:30AM to 1:40 AM,Unknown person(s) took unattended vacuum cleaner.,Open,B00079,-87.59822439999999,41.7925325
Theft,5608 S. Stoney Island ,1/27/12,1/27/12  10:30AM to 11:15AM,Known person took several boxes of supplies from building.,Open,B00080,-87.5868373,41.792869
Theft,E. 46th St. & S. Greenwood Ave.,1/27/12,1/24/12  3:00PM to 5:00PM,Unknown person(s) took several laptop computers from an unsecured room.,Open,B00081,-87.59930489999999,41.8114199
Theft,900 E. 57th St. ,1/27/12,1/26/12  3:30PM to 5:30PM,Unknown person(s) took a secured bicycle from the lobby of the building.,Open,B00082,-87.6034081,41.7916469
Theft,5839 S. Maryland Ave. ,1/27/12,1/27/12  2:00PM to 2:15PM,Unknown person took a wallet from a purse that was left unattended in an unsecured office.,Open,B00083,-87.6049245,41.7887309
Theft,5824 S. Drexel Ave. ,1/27/12,1/27/12  9:00AM to 4:00PM,Unknown person(s) took a purse that was left unattended in a lab.,Open,B00084,-87.60371529999999,41.7895465
Theft,E. 53rd St. & S. Cornell Ave.,1/27/12,1/27/12  10:15PM to 10:30PM,Unknown person(s) took a secured bicycle from the lobby of the building.,Open,B00085,-87.5855107,41.7995757
Theft,E. 53rd St. & S. Cornell Ave.,1/27/12,1/13/12 to 1/27/12  12:00PM to 10:30PM,Unknown person(s) took a secured bicycle from the lobby of the building.,Open,B00086,-87.5855107,41.7995757
