,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
53,Theft,5815 S. Maryland ,7/15/10 3:02 PM,7/15/10 11:00 AM to 12:55 PM,Unknown person took wallet from a purse that was placed on the floor under the table while dining / Unauthorized use of credit card subsequently reported,Open,W0787,-87.6041439,41.78917240000001
57,Theft,6420 S. University ,7/16/10 9:10 AM,6/18/10 3:40 PM,Former staff member refused to return a MacBook laptop computer when he was terminated,Open,W0791,-87.5980675,41.7785315
59,Theft,Cornell between 51st & 52nd,7/16/10 1:49 PM,7/15/10 to 7/16/10 8:30 PM to 12:30 PM,Unknown person took bicycle chained to rear porch of residence,Open,W0793,-87.62979820000001,41.8781136
60,Theft,Woodlawn & 54th,7/16/10 3:29 PM,7/15/10 to 7/16/10 7:00 PM to 9:30 AM,Bicycle chained to city stop sign taken by unknown person,Open,W0794,-87.59656590000002,41.7965229
63,Theft,Cornell between 50th & 51st,7/17/10 12:54 PM,7/17/10 11:00 AM to 11:30 AM,Unknown person took purse that was placed behind a chair that complainant occupied,Open,W0797,-87.60813101747618,41.84123008364999
64,Theft,970 E. 58th St. ,7/17/10 2:30 PM,7/17/10 1:00 PM,Unknown person took coin purse containing credit card from an unattended handbag left at workstation,Open,W0798,-87.6014637,41.789747399999996
65,Theft,5815 S. Maryland ,7/17/10 4:23 PM,7/16/10 to 7/17/10 7:00 PM to 3:00 PM,$400 taken from unattended purse left in patient's room,Open,W0799,-87.6041439,41.78917240000001
66,Theft,1118 E. 58th St. ,7/18/10 6:55 AM,7/16/10 to 7/17/10 7:30 PM to 9:30 PM,Unknown person took an Apple MacBook laptop computer from a room,Open,W0800,-87.6012587,41.789548100000005
67,Theft,56th between Woodlawn & Kimbark,7/18/10 11:01 AM,7/18/10 12:30 AM to 10:30 AM,Unknown person smashed driver's side window of car parked on the street and took a Sony digital camera and an i-Pod from the glove box,Open,W0801,-87.59568740011909,41.79326720280008
72,Theft,57th between Harper & Lake Park,7/19/10 3:54 PM,7/18/10 to 7/19/10 12:30 AM to 9:30 AM,A Sony Playstation and an X-Box were taken from an apartment during the course of a party,Open,W0806,-87.58863250001146,41.791509750424794
74,Theft,1025 E. 58th St. ,7/20/10 12:07 PM,7/20/10 11:30 AM,"Unknown male entered coffee shop, ate two dinners and left without paying",Open,W0808,-87.60015200000001,41.789113
76,Theft,1101 E. 56th St. ,7/20/10 3:12 PM,7/12/10 to 7/20/10  8:00 AM to 3:00 PM,Bicycle chained to metal fence taken by unknown person,Open,W0810,-87.59982459999998,41.7930128
77,Theft,5550 S. University ,7/20/10 4:20 PM,7/20/10 3:30 PM to  4:20 PM,Unknown person(s) forced open three gym locker doors and took three cell phones,Open,W0812,-87.598936,41.793561100000005
89,Theft from Motor Vehicle,56th between Greenwood & University,7/22/10 3:39 PM,7/22/10 3:30 PM,Unknown person broke window of van parked on the street and took bicycle and GPS device,Open,W0824,-87.59893345008145,41.793222002798345
90,Theft,1137 E. 57th St. ,7/22/10 4:14 PM,7/22/10 2:00 PM,Unknown person took wallet from unattended book bag / Unauthorized use of credit card reported,Open,W0823,-87.59812819999998,41.7913925
91,Theft,924 E. 57th St. ,7/22/10 9:12 PM,7/22/10 9:00 AM to 9:00 PM,Unknown person took a bicycle that was chained to a bike rack,Open,W0826,-87.6028077,41.79192099999999
95,Theft,Blackstone between 50th & 51st St.,7/23/10 1:01 PM,7/23/10 12:45 PM,Man took cell phone from a youth on the street and refused to return it / UCPD officer located and arrested suspect / phone recovered,Arrest,W0830,-91.80923743427604,41.609796448031055
98,Theft,5730 S. Drexel ,7/23/10 7:59 PM,7/23/10 4:30 PM to 7:30 PM,Unknown person took a bicycle that was secured to a bike rack,Open,W0832,-87.6038772,41.790394799999994
103,Theft,Greenwood & 53rd,7/24/10 1:38 PM,7/24/10 1:00 AM to 6:00 AM,Unknown person took unsecured bicycle from lobby of apartment building,Open,W0840,-87.5997436,41.799406899999994
109,Theft,5730 S. Drexel ,7/25/10 12:55 AM,7/24/10 to 7/25/10 11:30 PM to 12:55 AM,Unknown person took credit cards and ID from an unattended wallet in Comer ER waiting area,Open,W0846,-87.6038772,41.790394799999994
117,Theft,5815 S. Maryland ,7/25/10 2:11 PM,7/25/10 12:00 PM to 1:00 PM,Unattended wallet taken from table in café,Open,W0853,-87.6041439,41.78917240000001
118,Theft from Person,55th & Kimbark,7/25/10 4:45 PM,7/25/10 4:44 PM,Male exiting CTA bus grabbed cell phone from a passenger's hand and fled,Open,W0855,-87.59492139999998,41.7951219
122,Theft,969 E. 60th St. ,7/27/10 12:10 PM,7/26/10 to 7/27/10 5:00 PM to 8:00 AM,Unknown person cut U lock and took bicycle from bike rack,Open,W0860,-87.60174090000001,41.7855814
123,Theft,947 E. 58th St. ,7/27/10 3:02 PM,7/27/10 11:00 AM to 12:30 PM,Unattended MacBook laptop computer taken from unlocked room,Open,W0861,-87.6025521,41.7893783
125,Theft,1100 E. 57th St. ,7/27/10 8:35 PM,7/27/10 12:20 PM to 6:50 PM,Unknown person took secured bicycle from bike rack,Open,W0863,-87.6001136,41.7922076
126,Theft,1027 E. 57th St. ,7/27/10 11:44 PM,7/27/10 4:00 PM to 11:30 PM,Unknown person took bicycle secured to bike rack,Open,W0864,-87.59992679999998,41.7913049
129,Theft,969 E. 60th St. ,7/28/10 9:43 AM,7/27/10 to 7/28/10 5:00 PM to 8:00 AM,Unknown person took secured bicycle from bike rack,Open,W0866,-87.60174090000001,41.7855814
130,Theft,1020 E. 58th St. ,7/28/10 12:15 PM,7/28/10 9:20 AM to 12:05 PM,Secured bicycle taken from bike rack,Open,W0868,-87.60020999999998,41.790008799999995
131,Theft,5815 S. Maryland ,7/28/10 2:43 PM,7/28/10 2:15 PM,Wallet taken from woman's purse / Possibly in hallway or elevator,Open,W0869,-87.6041439,41.78917240000001
133,Theft,University between 55th & 56th,7/28/10 10:29 PM,7/28/10 7:10 PM to 10:25 PM,Unknown person took a bicycle that was secured to a metal post in front of a residential building,Open,W0871,-87.59811360023363,41.79413605000118
136,Theft,1101 E. 58th St. ,7/29/10 8:52 AM,7/28/10 8:00 AM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0875,-87.59892190000001,41.7889123
140,Theft from Motor Vehicle,Cottage Grove & 59th,7/29/10 1:23 PM,7/29/10 11:00 AM,Unknown person smashed window of van parked on the street / Took GPS device and two Motorola portable radios,Open,W0879,-87.60606159999998,41.787687899999995
141,Theft from Motor Vehicle,Ellis & 55th,7/29/10 3:19 PM,7/29/10 8:45 AM to 3:00 PM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0880,-87.60132999999998,41.7950092
143,Theft,929 E. 57th St. ,7/29/10 4:33 PM,7/29/10 9:20 AM to 4:15 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0881,-87.60270899999998,41.7908878
144,Theft,Kimbark between 57th & 58th,7/29/10 5:36 PM,7/28/10 to 7/29/10 8:00 AM to 5:00 PM,Unknown person took bicycle that had been secured to a lamp post in the courtyard of residential building,Open,W0883,-87.59482159967779,41.790531800002256
146,Theft from Motor Vehicle,Shore Dr. & 56th,7/29/10 7:14 PM,7/29/10 6:50 PM,Unknown female was seen entering an unlocked car parked on the street taking $5.00 in quarters,Open,W0885,-87.58041800000001,41.7935315
148,Theft,55th between Cornell & Hyde Park,7/30/10 12:13 PM,7/30/10 12:10 PM,Unknown male customer grabbed money from cash register as salesperson was making change / Suspect fled on foot,Open,W0887,-87.58467735012398,41.795197352369605
149,Theft,1115 E. 58th St. ,7/30/10 3:05 PM,7/30/10 2:00 PM to 3:00 PM,Two bicycles chained together were taken from bike rack,Open,W0890,-87.59867740000001,41.789004
150,Theft,5812 S. Ellis ,7/30/10 4:05 PM,7/30/10 9:00 AM to 3:45 PM,Unknown person took secured bicycle from bike rack,Open,W0889,-87.6023235,41.7891449
151,Theft,1126 E. 59th St. ,7/30/10 8:46 PM,7/30/10 3:30 PM to 5:30 PM,Unknown person used a tool to cut bar on bike rack and took a secured bicycle,Open,W0891,-87.6000808,41.7883749
156,Theft from Motor Vehicle,Drexel between 52nd & 53rd,8/1/10 9:22 AM,7/31/10 to 8/1/10 9:00 PM to 9: 15 AM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0896,-87.60393094988,41.79991580000086
160,Theft,Ellis between 60th & 61st,8/2/10 12:03 PM,8/1/10 Unknown,CPD arrested a man wanted on a warrant and found him in possession of a stolen bicycle / Bike turned over to UCPD being held for owner,Closed,W0900,-87.60115904966807,41.785000600002384
161,Theft from Motor Vehicle,61st between Cottage Grove & Drexel,8/2/10 1:27 PM,8/2/10 7:45 AM to 1:15 PM,Unknown person smashed window of vehicle parked in vacant lot and took a GPS device,Open,W0901,-87.60519765012639,41.78405115281848
162,Theft from Motor Vehicle,Blackstone & 51st,8/2/10 1:55 PM,8/1/10 to 8/2/10 4:00 PM to 12:30 PM,Unknown person smashed window of car in parking lot and took a GPS device,Open,W0903,-95.9926729,41.2623067
164,Theft of Lost or Mislaid Property,1100 E. 57th St. ,8/2/10 5:46 PM,8/2/10 5:30 PM,UCPD officers observed two males attempting to take bicycle from bike rack / Had stolen property in their possession / Arrest by UCPD,Arrest,W0904,-87.6001136,41.7922076
166,Theft,5815 S. Maryland ,8/3/10 10:58 AM,7/29/10 to 8/2/10 2:00 PM to 1:00 PM,"2 rings, necklace, and $10 cash taken from purse in patient's room",Open,W0906,-87.6041439,41.78917240000001
168,Theft,1427 E. 60th St. ,8/3/10 5:04 PM,8/3/10 1:30 PM to 5:00 PM,Unknown person took secured bicycle from bike rack,Open,W0908,-87.59030390000001,41.7857416
170,Theft,5841 S. Maryland ,8/4/10 2:36 PM,8/4/10 2:00 PM to 2:05 PM,"Unknown person took an unattended fanny pack from patient's room / contained a wallet, cell phone, check book / Unauthorized use of a credit card subsequently reported",Open,W0911,-87.6045656,41.7883128
175,Theft from Motor Vehicle,Kimbark between 53rd & 54th,8/6/10 8:32 AM,8/5/10 to 8/6/10 10:00 PM to 8:30 AM,Unknown person smashed window of car parked on the street / Took GPS device and sunglasses,Open,W0915,-87.59500704987093,41.79872420000055
176,Theft,5815 S. Maryland ,8/6/10 11:56 AM,7/31/10 3:00 AM to 2:00 PM,Unknown person took HP laptop computer from patient's room,Open,W0917,-87.6041439,41.78917240000001
178,Theft,935 E. 56th St. ,8/6/10 2:19 PM,8/6/10 2:00 PM to 2:19 PM,Unknown person took unattended Mac laptop computer from unlocked office,Open,W0919,-87.6022332,41.7931688
179,Theft,940 E. 57th St. ,8/6/10 4:27 PM,8/2/10 4:00 PM,Unknown person took wireless device from office,Open,W0920,-87.6026488,41.791447100000006
182,Theft from Motor Vehicle,University & 59th,8/7/10 12:45 PM,8/5/10 to 8/7/10 11:00 PM to 12:40 PM,Unknown person smashed window of car parked on the street and took a GPS device,Open,W0923,-87.59801479999999,41.787766999999995
183,Theft from Motor Vehicle,60th between Greenwood & University,8/7/10 2:12 PM,8/7/10 1:40 PM to 2:00 PM,Unknown person removed lock from the rear door of a workman's van parked on the street and took construction tools,Open,W0924,-87.61385773118056,41.83202790035631
186,Theft from Motor Vehicle,Dorchester & 57th,8/8/10 8:58 PM,8/8/10 7:15 PM to 8:45 PM,Unknown person smashed window of car parked on the street and took GPS device,Open,W0927,-87.5916036,41.791483
187,Theft,5530 S. Ellis ,8/9/10 10:13 AM,8/6/10 6:00 PM to 6:30 PM,Man left student ID card unattended while exercising / Unknown person took ID card,Open,W0928,-87.60162840000001,41.794474
191,Attempt Theft,6058 S. Ellis ,8/9/10 7:38 PM,8/9/10 7:38 PM,UCPD officer arrested male subject in the process of cutting copper wire attached to gate box,Arrest,W0931,-87.6011666,41.7846865
192,Theft,Cottage Grove & 58th,8/9/10 8:45 PM,8/9/10 6:00 AM to 8:30 PM,Unknown person smashed rear passenger's side window of car parked on the street and took a GPS device,Open,W0932,-87.60611340000001,41.7895033
198,Theft,5841 S. Cottage Grove ,8/10/10 11:46 AM,8/10/10 7:00 AM to 7:45 AM,Unknown person took DVD disk from office,Open,W0940,-87.60607569999998,41.788911299999995
199,Theft from Motor Vehicle,Kenwood between 57th & 58th,8/10/10 12:26 PM,8/9/10 to 8/10/10 8:00 PM to 11:45 AM,Unknown person smashed the driver's side window of a car parked on the street and took a GPS device,Open,W0939,-87.59319894967706,41.790551750002244
201,Theft from Motor Vehicle,Woodlawn between 58th & 59th,8/10/10 5:08 PM,8/10/10 7:25 AM to 4:30 PM,Unknown person smashed passenger's side window of car parked on the street and took a gym bag,Open,W0942,-87.5963948997241,41.788700100001655
204,Theft from Motor Vehicle,59th & Payne Dr.,8/11/10 12:12 PM,8/10/10 8:00 AM to 5:30 PM,Unknown person smashed window of vehicle parked on the street and took a GPS device,Open,W0945,-87.60744090000001,41.7948406
206,Theft,1101 E. 58th St. ,8/11/10 2:10 PM,7/30/10 to 8/3/10 5:00 PM to 10:00 AM,Unknown person removed a MacBook Pro computer from under a podium in an unsecured lecture hall,Open,W0947,-87.59892190000001,41.7889123
211,Theft,800 E. 55th St. ,8/12/10 1:41 PM,8/12/10 12:00 PM to 1:10 PM,Unknown person took an unattended cell phone from an examination room,Open,W0954,-87.60537289999998,41.7956635
212,Theft,970 E. 59th St. ,8/12/10 2:05 PM,4/1/10 to 8/4/10 8:00 AM to 5:00 PM,Leica light microscope taken from secured room,Open,W0953,-87.6016822,41.7879852
219,Theft,1212 E. 59th St. ,8/13/10 2:22 PM,8/10/10 to 8/13/10 12:00 PM to 12:00 PM,Unknown person took secured bicycle from bike rack,Open,W0961,-87.5955798,41.7882112
221,Theft,Harper between 57th & 58th,8/15/10 3:27 PM,8/15/10 3:27 PM,Male subject took bicycle from the rear of a building / Arrest by UCPD,Arrest,W0965,-87.6093580300694,41.834812309433254
226,Theft,Harper & 52nd,8/16/10 5:42 PM,8/16/10 5:40 PM,UCPD officers arrested a male subject shortly after he took a bicycle parked on the street / Property returned to owner,Arrest,W0970,-87.5891152,41.80100059999999
227,Theft,58th between Kimbark & Kenwood,8/16/10 5:59 PM,7/5/10 to 8/16/10 12:00 PM to 1:00 PM,Unknown person(s) took copper downspouts from building,Open,W0972,-87.59398750010061,41.78963385285395
233,Theft,5758 S. Maryland ,8/17/10 4:02 PM,8/17/10 1:15 PM to 1:30 PM,Unknown person took $640 cash from unattended purse in women's washroom,Open,W0977,-87.60554789999998,41.7901233
234,Theft,Greenwood between 53rd & 54th,8/17/10 7:03 PM,8/16/10 to 8/17/10 4:00 PM to 11:00 AM,"Bicycle was secured to a light pole / Unknown person took frame and rear wheel, leaving front wheel secured to the pole",Open,W0978,-87.59972594979808,41.798673800001346
236,Theft,901 E. 58th St. ,8/18/10 1:07 PM,8/18/10 9:00 AM to 10:00 AM,Patient reports unknown person took $20 from his unattended wallet,Open,W0980,-87.6049245,41.78949770000001
237,Theft,53rd between Hyde Park & South Shore Dr.,8/18/10 2:09 PM,8/16/10 to 8/17/10 3:00 PM to 12:00 PM,Unknown person cut cable and took bicycle from bike rack on the street,Open,W0981,-87.58319010025593,41.7996208531802
242,Theft,5747 S. Ellis ,8/19/10 9:32 AM,8/18/10 8:30 AM to 6:00 PM,Unknown person took secured bicycle from bike rack,Open,W0985,-87.60097390000001,41.7900022
250,Theft of Motor Vehicle,Midway Pl. between Woodlawn & Kimbark,8/20/10 4:31 PM,8/18/10 12:30 PM to 3:30 PM,Unknown person took a black 1987 Olds Cutlass parked on the street,Open,W0994,-87.6130650343606,41.83231006252771
252,Theft,1100 E. 58th St. ,8/20/10 7:08 PM,8/20/10 3:30 PM to 4:00 PM,Unattended Blackberry taken from desk in unsecured office,Open,W0995,-87.59917689999997,41.7901848
257,Theft,53rd & Dorchester,8/22/10 9:20 AM,8/21/10 11:00 PM,Unknown person took unsecured bicycle parked on the sidewalk in front of store,Open,W1001,-87.5917812,41.7994889
259,Theft,6011 S. Ingleside ,8/23/10 2:31 PM,8/20/10  to 8/23/10 5:00 PM to 9:30 AM,Unknown person pried open tool box and took tools,Open,W1003,-87.6025236,41.7852571
260,Theft,5721 S. Maryland ,8/23/10 3:56 PM,8/22/10 11:00 AM to 1:00 PM,Cell phone taken from patient's room,Open,W1004,-87.6046094,41.7902271
261,Theft,1005 E. 60th St. ,8/24/10 12:24 PM,8/24/10 9:45 AM to 11:00 AM,Unknown person took a Dell laptop computer from an unlocked office,Open,W1005,-87.60017669999998,41.785430600000005
267,Theft from Motor Vehicle,Ellis between 49th & 50th,8/25/10 10:29 AM,8/24/10 to 8/25/10 9:30 PM to 10:00 AM,Unknown person smashed front passenger's side window of car parked on the street and took an i-pod,Open,W1011,-87.6016110997156,41.80502745000175
268,Theft,920 E. 59th St. ,8/25/10 10:48 AM,8/20/10 to 8/24/10 4:00 PM to 2:00 PM,Dell desk top computer taken from office,Open,W1012,-87.6031194,41.78797120000001
273,Theft,900 E. 57th St. ,8/26/10 12:26 PM,8/26/10 7:30 AM to 9:00 AM,Change purse fell from woman's pocket while in washroom / Change purse found in washroom by staff member and returned to owner / $98 missing,Open,W1018,-87.6034081,41.791646899999996
277,Theft,55th between Cornell & Hyde Park,8/27/10 4:58 PM,8/27/10 4:50 PM,Two unknown males entered a grocery store / One distracted the clerk while the other took money from the cash register / Both fled the store,Open,W1022,-87.58467735012398,41.795197352369605
280,Theft,59th between Kimbark & Kenwood,8/28/10 6:53 AM,8/28/10 2:00 AM  to 2:30 AM,Unattended cell phone taken by unknown person,Open,W1025,-87.59401262615204,41.798641602413774
290,Theft,970 E. 58th St. ,8/30/10 1:10 PM,8/30/10 12:30 PM to 1:00 PM,Wallet taken from purse placed on the back of a chair as complainant sat at the counter in the café,Open,W1035,-87.6014637,41.789747399999996
299,Theft,Kimbark between 51st & 52nd,8/31/10 2:34 PM,7/31/10 to 8/30/10 5:00 PM to 10:30 AM,Secured bicycle taken from rear of apartment building,Open,W1043,-87.61241837450295,41.83952060838667
300,Theft,970 E. 58th St. ,9/1/10 11:05 AM,9/1/10 11:05 AM,Man left the bookstore café without paying for food  / Arrest,Arrest,W1045,-87.6014637,41.789747399999996
309,Theft from Motor Vehicle,Dorchester between 51st & 52nd,9/2/10 3:40 PM,9/2/10 3:40 PM,Man smashed windows of two cars parked on the street and took GPS devices / Arrest by UCPD,Arrest,W1057,-87.61078874829336,41.83954121525386
311,Theft,55th between Ellis & Greenwood,9/2/10 11:22 PM,9/2/10 11:22 PM,Unknown person took bicycle that was secured to a tree with a chain,Open,W1058,-87.60054965006697,41.795014702640415
312,Theft,950 E. 59th St. ,9/3/10 12:13 PM,9/2/10 to 9/3/10 8:00 PM to 8:00 AM,Apple I-pad taken from an unsecured cabinet in a secured office,Open,W1059,-87.60279190000001,41.7878573
316,Theft,5530 S. Ellis ,9/3/10 7:21 PM,9/3/10 6:20 PM to 7:10 PM,"Unknown person took wallet, keys, and cell phone from an unsecured locker in men's locker room",Open,W1063,-87.60162840000001,41.794474
323,Theft from Motor Vehicle,56th between University & Woodlawn,9/4/10 7:11 PM,9/3/10 6:00 PM to 8:00 PM,"Unknown person took laptop computer, air mattress and passport from unlocked vehicle parked on the street",Open,W1071,-87.59731055018665,41.793243102912335
330,Theft,53rd between Kenwood & Dorchester,9/7/10 1:24 PM,8/31/10 9:00 PM,A man riding a bicycle grabbed a cell phone from the hand of a woman walking on the sidewalk and rode off,Open,W1078,-87.59216540001471,41.79948645064006
331,Theft,5812 S. Ellis ,9/7/10 6:38 PM,9/7/10 7:30 AM to 6:30 PM,Bicycle secured to bike rack with chain taken by unknown person,Open,W1079,-87.6023235,41.7891449
333,Theft,5838 S. Kenwood ,9/8/10 5:32 PM,9/8/10 8:00 AM to 3:30 PM,Bicycle chained to a bike rack taken by an unknown person,Open,W1081,-87.59318379999998,41.7893835
334,Theft from Motor Vehicle,55th between Drexel & Ellis,9/8/10 5:55 PM,9/8/10 9:00 AM to 5:30 PM,Unknown person smashed passenger's side window of car parked on the street and took a GPS devise,Open,W1082,-87.6025624967511,41.79517815658669
339,Theft,1100 E. 57th St. ,9/10/10 10:53 AM,9/9/10 to 9/10/10 4:30 PM to 8:30 AM,Book taken from desk top in an unsecured area,Open,W1087,-87.6001136,41.7922076
344,Theft,Stony Island & 57th,9/11/10 2:33 PM,9/11/10 2:33 PM,UCPD officers saw man take a tire from a bike secured to a bicycle rack / Arrest,Arrest,W1093,-87.5867167,41.791531799999994
345,Theft from Motor Vehicle,Midway Pl. between Cottage Grove & Drexel,9/11/10 10:21 PM,9/11/10 12:00 PM to 10:05 PM,Unknown person smashed driver's side window and took GPS device from a car parked on the street,Open,W1094,-87.6179097400446,41.83226251204864
347,Theft from Motor Vehicle,Midway Pl. between Drexel & Ellis,9/12/10 11:50 PM,9/12/10 2:30 PM to 11:30 PM,Unknown person smashed passenger's side window of vehicle parked on the street and took GPS device,Open,W1096,-87.61548680989523,41.832281736949035
348,Theft,5823 S. Kenwood ,9/13/10 7:21 AM,9/7/10 2:24 PM to 4:30 PM,Unknown person took cell phone from a back pack in a gym locker / Uncertain if locker was secured,Open,W1097,-87.5931488,41.789430700000004
356,Theft,970 E. 57th St. ,9/16/10 12:23 PM,9/16/10 12:20 PM,Unknown male grabbed a book and ran out of the store without paying,Open,W1106,-87.6019525,41.7913802
359,Theft,1212 E. 59th St. ,9/16/10 4:19 PM,9/3/10 to 9/15/10 4:00 PM to 3:00 PM,5 Xerox cartridges taken from room that may not have been secured,Open,W1108,-87.5955798,41.7882112
360,Theft,1101 E. 56th St. ,9/16/10 5:06 PM,9/13/10 to 9/16/10 2:00 PM to 10:30 AM,Unknown person took secured bicycle from bike rack,Open,W1109,-87.59982459999998,41.7930128
361,Theft of Motor Vehicle,55th between Blackstone & Harper,9/17/10 9:40 AM,9/16/10 to 9/17/10 9:30 PM to 9:30 AM,1997 green Dodge Caravan taken from parking place on the street,Open,W1111,-87.58939034722229,41.79532095398737
363,Theft from Motor Vehicle,59th & Woodlawn,9/17/10 4:54 PM,9/17/10 0750 to 4:50 PM,Unknown person smashed window of car parked on the street and took GPS device and coin purse,Open,W1113,-87.59637540000001,41.787793
364,Theft of Motor Vehicle,Cottage Grove between 58th & 59th,9/17/10 5:39 PM,9/17/10 3:00 PM to 5:00 PM,2007 silver 4 dr. Pontiac Torrent taken from parking place on the street,Open,W1114,-87.60608749963328,41.78859560000291
370,Theft from Motor Vehicle,55th & Blackstone,9/18/10 11:11 PM,9/18/10 5:00 PM to 11:00 PM,Unknown person smashed driver's side window of car parked on the street and took GPS device,Open,W1120,-87.5903493,41.795506599999996
371,Theft,6031 S. Ellis ,9/18/10 11:19 PM,9/17/10 to 9/18/10 5:00 PM to 10:25 AM,Unknown person took bicycle that had been secured to a bike rack,Open,W1121,-87.60034870000001,41.78502539999999
376,Theft from Motor Vehicle,Cottage Grove between 58th & 59th,9/19/10 7:37 PM,9/19/10 4:00 PM to 7:00 PM,Unknown person smashed window of car parked on the street and took two DVD players and two Nintendo players,Open,W1126,-87.60608749963328,41.78859560000291
377,Theft,5815 S. Maryland ,9/19/10 9:55 PM,9/19/10 1:30 PM to 6:00 PM,"Unknown person took white lab coat, 4g i-Phone, and local anesthetic drug from secured room",Open,W1127,-87.6041439,41.78917240000001
380,Theft,Blackstone between 54th & 55th,9/21/10 8:35 AM,9/20/10 to 9/21/10 7:00 PM to 8:00 AM,Unsecured bicycle taken from basement of residential building,Open,W1130,-87.59037524948683,41.79677400000293
383,Theft,1212 E. 59th St. ,9/21/10 5:15 PM,9/21/10 9:30 AM to 2:20 PM,Wallet taken from woman's purse / Subsequent unauthorized use of credit cards reported,Open,W1133,-87.5955798,41.7882112
385,Theft,5721 S. Maryland ,9/22/10 7:56 PM,9/21/10 7:00 AM to 1:00 PM,i-Pod taken from a work bag left unattended in a triage room,Open,W1135,-87.6046094,41.7902271
387,Theft from Motor Vehicle,Midway Pl. between Harper & Stony Island,9/22/10 12:40 PM,9/22/10 8:30 AM to 12:30 PM,Unknown person smashed window of vehicle parked on the street and took a GPS device,Open,W1137,-87.58722866740011,41.78462900175854
389,Theft,6031 S. Ellis ,9/22/10 2:24 PM,9/18/10 to 9/19/10 9:00 PM to 11:00 AM,Unknown person took a bicycle that had been secured to a bike rack,Open,W1139,-87.60034870000001,41.78502539999999
396,Theft,5530 S. Ellis ,9/23/10 11:40 PM,9/23/10 1:15 PM to 4:40 PM,Unknown person took credit card from a wallet placed in an unattended purse in an office / Unauthorized use of credit card subsequently reported,Open,W1147,-87.60162840000001,41.794474
398,Theft,5530 S. Ellis ,9/24/10 12:35 PM,9/24/10 10:00 AM to 10:45 AM,Wallet taken from an unattended book bag placed against a wall,Open,W1149,-87.60162840000001,41.794474
404,Theft,5840 S. Kenwood ,9/27/10 7:47 AM,9/9/10 to 9/10/10 4:30 PM to 8:30 AM,Unknown person took cash from a desk in secured office,Open,W1156,-87.59318329999998,41.7893743
